Alsatian	POS	French	German	BabelNetId	Cosine
Blitz [ACPA;OLCA67;OLCA68] ; Bletz [ACPA] ; Blìtz [OLCA67;OLCA68]	N	foudre;éclair	Blitze;Blitz	bn:00051161n	1.00
fritig [ACPA] ; Fridig [OLCA68;WKT] ; Fridaa [OLCA67] ; Fridàà [OLCA67;WKT] ; Fridi [WKT]	N	vendredi	Freitag	bn:00036512n	1.00
Fille [WKT] ; Fìli [OLCA68]	N	poulain	Fohlen	bn:00035547n	1.00
Gmiasgàrta [ACPA] ; Gemiesgàrte [OLCA67;WKT] ; Gmiesgàrta [OLCA68] ; Gemiesgàrta [OLCA68]	N	jardin potager;potager	Gemüsegarten	bn:00049250n	1.00
Stroh [WKT] ; Schtràui [ACPA] ; Stroïe [WKT]	N	paille	Stroh	bn:00074572n	1.00
Söie [WKT] ; Sàui [OLCA68] ; Soi [ACPA] ; Söïï [WKT] ; Söj [OLCA67;OLCA68]	N	porc;cochon	Säen;Sau	bn:00073025n	0.71
Sunn [WKT] ; Sùnne [OLCA67] ; Sunne [WKT] ; Sonn [OLCA67;OLCA68] ; Sùnn [OLCA67;OLCA68] ; Sunna [ACPA;OLCA68]	N	soleil	Sonne	bn:01334729n	1.00
Starn [OLCA68;WKT] ; Sterne [OLCA67] ; Starne [OLCA67;OLCA68] ; Stërn [WKT] ; Schtarn [ACPA] ; Stern [OLCA67]	N	étoile;étoiles	Sterne;Stern	bn:00073964n	1.00
Pfiff [ACPA] ; Pfiffa [ACPA;WKT] ; Pfeif [WKT] ; Pfif [WKT]	N	pipe;bouffarde	Pfeife	bn:00014622n	1.00
Zemmer [ACPA] ; Zimmer [ACPA;WKT]	N	pièce;chambre	Zimmer	bn:00042096n	0.82
Dunnerschdig [OLCA68;WKT] ; Dunnerschdàà [OLCA67;WKT] ; Dùnnerschdaa [OLCA67] ; Dùnnerschdig [OLCA68] ; Dunnerschdi [WKT]	N	jeudi	Donnerstag	bn:00076744n	1.00
Ràdig [OLCA68] ; Raddi [WKT] ; Rëddi [WKT] ; Radig [ACPA;OLCA68] ; Räddi [OLCA67] ; Ràdi [OLCA67]	N	radis	Rettich	bn:00065964n	1.00
Käss [WKT] ; Kaas [ACPA;OLCA67;OLCA68] ; Kas [WKT] ; Käs [ACPA;WKT] ; Chäs [WKT]	N	fromage	Käse	bn:00018038n	1.00
Düüwe [OLCA67;OLCA68] ; Tüwa [ACPA] ; Düwe [OLCA67;WKT] ; Düwa [OLCA68;WKT]	N	pigeon;pigeons	Taube;Tauben	bn:00020813n	0.89
Bàlla [ACPA;WKT] ; Bàll [ACPA] ; Bàlle [WKT] ; Balle [OLCA67;OLCA68]	N	ballon;balle	Ballen;Ball	bn:00008120n	0.87
Augscht [OLCA67;OLCA68;WKT] ; Äugscht [OLCA67] ; Oigscht [ACPA;OLCA68;WKT] ; Àuigscht [ACPA]	N	août	August	bn:00007140n	0.82
Sùnndaa [OLCA67] ; Sunntig [ACPA] ; Sunndig [OLCA68;WKT] ; Sunndàà [OLCA67;WKT] ; Sundi [ACPA] ; Sùnntig [OLCA68]	N	dimanche	Sonntag	bn:00028190n	0.82
Zung [OLCA67;OLCA68;WKT] ; Zunga [ACPA] ; Zunge [WKT] ; Zùng [OLCA67;OLCA68]	N	langue	Zunge	bn:00019439n	1.00
verstärike [OLCA67] ; verstericke [OLCA67;OLCA68] ; verschtärike [ACPA] ; verschtärka [ACPA] ; verstärke [OLCA68]	V	renforcer;affermir	verstärken	bn:00085583v	0.82
Herz [OLCA67;OLCA68] ; Harz [ACPA;OLCA67;OLCA68;WKT]	N	coeur;cœur	Herz	bn:01755909n	0.82
Wìesele [OLCA67] ; Wìesala [OLCA68] ; Wisele [WKT] ; Wissele [WKT] ; Weesala [ACPA] ; Wëessala [WKT]	N	belette	Wiesel	bn:00080755n	1.00
Brieder [WKT] ; Bröder [ACPA] ; Brüeder [WKT] ; Brüader [ACPA]	N	frères;frangin;frère	Brüder;Bruder	bn:00013374n	0.63
Ent [OLCA67;WKT] ; Ant [ACPA;OLCA67;OLCA68;WKT] ; Ante [WKT] ; Anta [ACPA;OLCA68] ; Ente [WKT] ; Ãnta [WKT]	N	canards;canard	Ente;Enten	bn:00029010n	1.00
Feewer [ACPA] ; Fiewer [OLCA67;OLCA68]	N	fièvre	Fieber	bn:00033883n	0.71
Melch [ACPA] ; Mélich [WKT] ; Mélch [WKT] ; Milch [OLCA68;WKT] ; Milich [OLCA67;OLCA68;WKT]	N	lait	Milch	bn:00054996n	0.71
Esel [OLCA67;OLCA68;WKT] ; Essel [ACPA;WKT] ; Eesala [ACPA] ; Eesel [ACPA]	N	ânon;âne	Esel	bn:04696320n	0.82
bräät [WKT] ; brait [ACPA] ; breit [OLCA67;OLCA68;WKT] ; bräit [WKT]	A	large	breiten	bn:00098887a	1.00
springa [WKT] ; springe [WKT] ; schprenga [ACPA]	V	sauter	springen	bn:00083833v	1.00
Oiga [OLCA68] ; Àiga [ACPA] ; Oig [OLCA68] ; Oige [OLCA68;WKT] ; Àuig [ACPA]	N	oeil;yeux	Eye;Auge;Augen	bn:00032512n	0.80
Gàshard [ACPA;WKT] ; Gàsherd [ACPA] ; Gàshërd [WKT]	N	gazinière;cuisinière à gaz	Gasherd	bn:00037393n	1.00
Middàg [OLCA68;WKT] ; Middàj [WKT] ; Middàà [OLCA67;WKT]	N	midi	Mittag	bn:03255404n	1.00
loefe [WKT] ; laufe [OLCA67;OLCA68;WKT] ; laafe [WKT] ; loïfe [WKT] ; làuifa [ACPA]	V	marcher	laufen	bn:00095597v	1.00
Hardäpfel [ACPA;OLCA68;WKT] ; Hardepfel [OLCA68;WKT]	N	pommes de terre;pomme de terre;patate	Herdapfel;Härdöpfel	bn:00047481n	0.75
Ohre [OLCA67;OLCA68] ; Àhra [ACPA] ; Ohr [ACPA;OLCA67;OLCA68;WKT] ; Àhr [ACPA]	N	épi;oreille;oreilles	Ähre;Ohr;Ohren	bn:00015677n	0.82
Ohrfiga [ACPA] ; Ohrfeij [ACPA] ; Ohrfig [ACPA]	N	claque;gifle;baffe	Ohrfeige	bn:00072056n	0.89
Wìnd [OLCA67;OLCA68] ; Wend [ACPA] ; Wind [OLCA67;OLCA68;WKT]	N	vent;flatulence	Wind;Winde	bn:00002216n	0.57
Spiel [OLCA67;OLCA68;WKT] ; Speel [OLCA67;OLCA68] ; Speeler [OLCA67;OLCA68] ; Schpeel [ACPA]	N	joueur;jeu	Spieler;Spielen;Spiel	bn:00037180n	0.80
Bar [ACPA] ; Bäre [WKT] ; Bär [WKT]	N	ours	Bär;Bären	bn:00009342n	1.00
Wãtterfãhna [WKT] ; Watterfàhna [ACPA] ; Wetterfàhne [OLCA67] ; Watterfàhne [OLCA67;OLCA68]	N	girouette	Wetterfahne	bn:00079550n	1.00
Ãmbos [WKT] ; Àmbos [WKT] ; Àmboss [ACPA]	N	enclume	Amboss;Amboß	bn:00004798n	1.00
Insel [WKT] ; Insla [WKT] ; Ensala [ACPA] ; Ìnsel [OLCA67;OLCA68] ; Ensla [ACPA]	N	îles;île;îlot	Insel	bn:00047618n	0.87
Obst [OLCA67;OLCA68] ; Oobscht [WKT] ; Obscht [ACPA;WKT]	N	fruits;fruit	Obst	bn:00036686n	0.71
Hãss [WKT] ; Hàs [OLCA67;OLCA68;WKT] ; Hààs [ACPA;OLCA67;OLCA68] ; Hààse [OLCA68] ; Hàse [WKT]	N	lièvres;lièvre	Hasen	bn:00042984n	1.00
Züakunft [ACPA] ; Züekunft [WKT] ; Zökunft [ACPA]	N	avenir;futur	Zukunft	bn:00036941n	1.00
Fehler [OLCA67;OLCA68] ; Fähler [ACPA] ; Faul [OLCA67] ; Fahler [ACPA]	N	faute;erreur	Fehler;Foul	bn:00031485n	0.87
Seegelscheff [ACPA] ; Sejelschiff [ACPA;WKT] ; Segelscheff [ACPA] ; Segelschiff [WKT]	N	bateau à voile;voilier	Segelschiff;Segelschiffen	bn:00068849n	1.00
Leima [OLCA68] ; Leem [ACPA] ; Leime [OLCA67] ; Laima [ACPA]	N	terre glaise;argile	Lehm	bn:00019624n	0.87
G'schmàck [WKT] ; Gschmàck [ACPA;WKT] ; g'schmàck [OLCA67;OLCA68]	N	goût;saveur	Geschmack	bn:01243131n	0.82
Lauch [OLCA67;WKT] ; Läuch [OLCA67] ; Laach [WKT]	N	poireau	Lauch	bn:00002898n	1.00
Kööche [WKT] ; Küeche [OLCA67;OLCA68;WKT] ; Kuuche [WKT] ; Küacha [ACPA;OLCA68]	N	gâteau	Kuchen	bn:00014609n	0.82
Wuch [WKT] ; Wucha [ACPA] ; Woch [OLCA67;OLCA68] ; Wuche [WKT]	N	semaine	Woche	bn:00043484n	0.82
Hànef [OLCA67] ; Hàfa [ACPA] ; Hàfe [OLCA67;OLCA68] ; Hànf [ACPA]	N	marmite;chanvre;pot de chambre;pot	Hanf	bn:00063820n	0.63
Birscht [WKT] ; Berschta [ACPA;WKT] ; Berscht [ACPA;OLCA67;OLCA68]	N	brosse	Bürsten;Bürste	bn:00013489n	0.71
Grund [ACPA;OLCA67;OLCA68]	N	terre	Grund	bn:00029425n	0.63
schlaga [WKT] ; schlawa [ACPA] ; schlàga [ACPA] ; schlaage [OLCA68] ; schlaawe [OLCA67]	V	battre;gagner	schlagen	bn:00083247v	0.82
Vegala [OLCA68] ; Vejele [OLCA67] ; Vogel [ACPA;OLCA68] ; Vöjel [OLCA67;WKT]	N	oiseau;oiseaux	Vogel;Vögel	bn:00010605n	1.00
Grùmbeere [OLCA67] ; Grumbeer [WKT] ; Grumbeere [OLCA67;OLCA68] ; Grummbeera [ACPA]	N	pommes de terre;pomme de terre	Krumbiir;Grumbiere	bn:00047481n	0.67
bequãm [WKT] ; bekwam [ACPA] ; bekwäm [ACPA] ; bekwem [ACPA]	A	confortable;commode	bequem	bn:00100070a	0.77
kotza [ACPA] ; kotze [OLCA67]	V	dégobiller;rendre;vomir;dégueuler	kotzen	bn:00083115v	0.75
Septamber [OLCA67;OLCA68;WKT] ; September [OLCA67] ; septamber [ACPA] ; Septëmber [WKT]	N	septembre	September	bn:00070537n	1.00
Erda [OLCA68] ; Arda [OLCA68] ; Erd [OLCA67]	N	terre	Erde	bn:01408141n	1.00
Kehn [ACPA]	N	menton	Kinn	bn:03457264n	1.00
Kerechadurm [WKT] ; Kerchturm [ACPA] ; Kirichdurm [WKT] ; Kerischturm [ACPA] ; Kirchdurm [WKT]	N	clocher	Kirchturm	bn:00073427n	0.71
Kràn [ACPA] ; Kràne [WKT]	N	grue	Gruinae;Kranich;Kran	bn:00023533n	0.87
Knej [OLCA67;OLCA68;WKT] ; Knie [OLCA67;OLCA68;WKT] ; Knih [ACPA]	N	genoux;genou	Knien;Genu;Knie	bn:00006140n	1.00
Baan [OLCA67;WKT] ; Bein [OLCA67;OLCA68;WKT]	N	jambe;jambes	Beine;Bein	bn:00050541n	1.00
Wurzla [OLCA68;WKT] ; Wurtzla [ACPA] ; Wùrzle [OLCA67] ; Wùrzel [OLCA67]	N	racine	Wurzel	bn:03166118n	1.00
Hirnschlàui [ACPA] ; Hirnschlaa [ACPA] ; Hernschlààg [ACPA] ; Hernschlàg [ACPA] ; Hirnschlàà [OLCA67;OLCA68]	N	apoplexie;congestion cérébrale	Hirnschlag	bn:00004971n	0.71
Engel [ACPA;WKT] ; Angel [ACPA;WKT]	N	ange;anges	Engel	bn:00004063n	1.00
Heidelbeere [OLCA67;OLCA68] ; Heidelbeer [OLCA67;OLCA68] ; Heidelbeera [OLCA68] ; Haidelbeera [ACPA]	N	myrtille;myrtilles	Heidelbeeren;Heidelbeere	bn:00010369n	1.00
Wàje [WKT] ; Wàge [WKT] ; Wàga [ACPA;OLCA68] ; Wawe [WKT]	N	voiture	Wagen	bn:00007309n	0.58
Sänger [ACPA] ; Sanger [ACPA]	N	chanteur	Sänger	bn:00071731n	0.82
Auto [OLCA67;WKT] ; Oto [ACPA]	N	automobile;voiture;auto	Auto-;Auto	bn:00007309n	0.73
Viartel [ACPA] ; Viertel [OLCA67;OLCA68] ; Viartala [ACPA] ; viertel [WKT]	N	quart	Viertel	bn:00036111n	1.00
November [OLCA67] ; Novëmber [WKT] ; Nowamber [ACPA] ; Novamber [OLCA67;OLCA68;WKT]	N	novembre	November	bn:00058192n	1.00
Lànd [ACPA] ; Land [ACPA;WKT]	N	sol;campagne;pays;terre	Land	bn:00049836n	0.63
Kàrpfa [ACPA;OLCA68] ; Kàrpf [ACPA] ; Kàrpfe [OLCA67;OLCA68]	N	carpe	Karpfen	bn:00016184n	1.00
Ààle [WKT] ; Ool [ACPA;OLCA68;WKT] ; Ààl [ACPA;OLCA67;OLCA68;WKT]	N	anguille;anguilles	Aale;Aal	bn:00029859n	1.00
Kirsch [ACPA;OLCA67;OLCA68;WKT] ; Kerscha [ACPA]	N	cerise	Kirschen;Kirsche	bn:00018175n	1.00
Asch [OLCA67] ; Esche [OLCA67;OLCA68] ; Esch [ACPA;OLCA67;OLCA68] ; Äscha [ACPA] ; Escha [OLCA68]	N	frêne	Esche;Eschen	bn:00006306n	1.00
Kend [ACPA] ; Kinder [WKT] ; Kind [ACPA;WKT] ; Kënde [WKT] ; Kënder [WKT]	N	enfant;enfants	Kind;Kinder	bn:00018346n	0.71
Spiejel [OLCA67;OLCA68] ; Spiegel [WKT] ; Schpiagel [ACPA]	N	glace;miroir	Spiegel	bn:00055261n	1.00
heewa [ACPA] ; héwe [WKT] ; hewwe [OLCA67;OLCA68;WKT]	V	tenir	haben	bn:00088818v	0.82
Spìnn [OLCA67;OLCA68] ; Schpenna [ACPA] ; Schpinn [ACPA] ; Spinn [OLCA67;OLCA68]	N	araignée	Spinne;Spinnen	bn:00073338n	1.00
Sitta [ACPA] ; Sitt [ACPA]	N	côté	Seite	bn:00071434n	1.00
Schoifanschter [ACPA] ; Schaufenschter [OLCA67;OLCA68] ; Schàuifanschter [ACPA]	N	devanture;vitrine	Schaufenster	bn:00081286n	1.00
Hààg [OLCA68] ; Häcka [ACPA] ; Hecke [OLCA67]	N	haie	Hecke;Hecken	bn:00043507n	0.87
Fàda [ACPA] ; Fàde [WKT] ; Fãda [WKT]	N	fil	Fäden;Faden	bn:02452704n	1.00
Fàhne [ACPA] ; Fãhna [WKT] ; Fahne [OLCA67;OLCA68] ; Fãhne [WKT] ; Fàhna [ACPA]	N	drapeau	Fahnen	bn:00034960n	1.00
Hàhnenfüess [OLCA68] ; Hàhnafüess [OLCA68] ; Hàhnafüas [ACPA] ; Hàhnefüess [OLCA67] ; Hàhnafüass [ACPA]	N	renoncule;bouton d'or	Hahnenfuss;Hahnenfuß	bn:00039441n	0.89
Uffschtànd [ACPA] ; Uffschtandig [ACPA]	N	insurrection;insurgé;révolte;soulèvement;rébellion	Aufstand;Aufstände;Aufständen	bn:00047002n	0.79
Feschter [WKT] ; Fecht [OLCA67] ; Fascht [ACPA] ; Faschter [WKT] ; Fescht [ACPA]	N	fête;fêtes	Feste;Fest	bn:00016987n	0.71
blài [OLCA68] ; bloi [WKT] ; blöi [WKT] ; blöj [OLCA67;OLCA68] ; blöï [OLCA67]	A	bleu	blau	bn:00098606a	1.00
kïver [WKT] ; Kehfer [ACPA] ; Keefer [ACPA]	N	maxillaire;mâchoire;os maxillaire	Kiefer;Kiefer-	bn:00053925n	0.77
Schtappdäcka [ACPA] ; Schtappdàcka [ACPA] ; Schtappdeck [ACPA]	N	couette;courtepointe	Steppdecke	bn:00022182n	0.58
Dàmebrett [ACPA] ; Dàmabratt [ACPA] ; Dàmebratt [WKT] ; Dàmebrëtt [WKT]	N	damier	Damebrett	bn:00018002n	0.82
Frind [ACPA] ; Frinde [WKT] ; Frend [ACPA]	N	allié;ami	Freund	bn:00002956n	1.00
pfiffe [OLCA67;OLCA68] ; pfeife [WKT] ; Pfiffa [WKT] ; pfife [WKT]	V	siffler	pfeifen	bn:00093760v	1.00
Kàmmer [ACPA;WKT] ; Kàmmra [ACPA]	N	chambre des députés;chambre	Gemach;1. Kammer;Kammer	bn:03350692n	0.63
bälega [WKT] ; bällega [WKT] ; Bàlike [OLCA67;OLCA68] ; Bàlka [ACPA]	N	poutre;poutres	Balken	bn:00040533n	0.87
Bohn [OLCA67;WKT] ; Bohne [OLCA67;OLCA68;WKT] ; Bohna [ACPA;OLCA68]	N	haricot;haricots	Bohnen;Bohne	bn:00009324n	0.89
Schànd [ACPA]	N	ignominie;déshonneur;honte;opprobre	Schande	bn:00027566n	0.60
Isvöjel [OLCA67;OLCA68] ; Isvogel [OLCA68] ; Issvöjel [OLCA67] ; Issvogel [ACPA]	N	martin-pêcheur;martin pêcheur	Eisvögel;Eisvogel	bn:00049188n	1.00
Grüawa [ACPA] ; Gràwe [OLCA67;OLCA68] ; Grààwa [ACPA] ; Grawe [OLCA67;OLCA68]	N	fosse;fossé	Gräben;Grube;Graben	bn:00036025n	0.80
Kücha [WKT] ; Kiche [OLCA67;WKT] ; Kùch [OLCA68] ; Kische [ACPA]	N	cuisine	Küchen;Küche	bn:00049248n	1.00
Monet [ACPA;OLCA67;OLCA68;WKT] ; Monete [OLCA67]	N	mois	Monate;Monat	bn:00055794n	1.00
Gsecht [ACPA] ; Gsischt [ACPA]	N	visage;figure;face	Gesicht	bn:00032600n	0.89
Wàppa [ACPA] ; Wàpp [ACPA]	N	blason;armoiries	Wappen	bn:00005794n	0.87
Durchfàll [ACPA] ; Dürichfàll [OLCA67;OLCA68] ; Durischfàll [ACPA]	N	diarrhée;colique	Durchfall	bn:00026886n	0.87
Plàkàt [ACPA;OLCA67;OLCA68;WKT] ; Plãkãt [WKT]	N	affiche;pancarte;placard	Plakat;Plakate	bn:00010395n	1.00
Zischdig [OLCA68;WKT] ; Zischdi [WKT] ; Zischtig [ACPA;OLCA68]	N	mardi	Ziestag	bn:00078546n	0.82
spiela [WKT] ; speele [OLCA67;OLCA68;WKT] ; schpeela [ACPA] ; spiele [WKT]	V	jouer	spielen	bn:00091721v	1.00
Rìnda [OLCA68] ; Renda [ACPA] ; Rind [ACPA;OLCA67;OLCA68] ; Rìnde [OLCA67]	N	écorce	Rinde	bn:00008594n	1.00
Burg [ACPA;WKT] ; Burig [ACPA] ; Burri [WKT]	N	château-fort;château	Burgen;Burg	bn:00016570n	0.89
Bächele [OLCA67] ; Bachla [ACPA;OLCA68] ; Bachala [OLCA68] ; Bachel [OLCA67]	N	ruisseau	Priel	bn:00120665n	0.82
Gwìtter [OLCA68] ; Gwetter [ACPA] ; Gewìtter [OLCA67] ; Gewitter [OLCA67;OLCA68;WKT]	N	orage	Gewitter	bn:00030169n	1.00
Fenger [ACPA] ; Finger [ACPA;OLCA67;OLCA68;WKT]	N	doigt;doigts	Finger	bn:00034565n	1.00
Masser [ACPA;OLCA67] ; Messer [OLCA68] ; Mãsser [WKT] ; Mësser [WKT]	N	couteau	Messer	bn:02341463n	1.00
Tülipa [OLCA68] ; Tulipà [OLCA67;OLCA68] ; Tülip [OLCA67;WKT] ; Tulipa [WKT]	N	tulipes;tulipe	Tulpe;Tulipa;Tulpen	bn:00078559n	1.00
Schüah [ACPA] ; Schöh [ACPA] ; Schüeh [WKT]	N	soulier;chaussure	Schuh	bn:00071172n	0.71
Vàter [WKT] ; Vàtter [ACPA]	N	père	Vater	bn:00071826n	1.00
Oliva [ACPA] ; Oliv [WKT] ; Olive [OLCA67;OLCA68]	N	olive;olives	Oliven;Olive;Oliv	bn:00058891n	0.77
Schträuihüat [ACPA] ; Schtrauhöt [ACPA] ; Schtràuihüat [ACPA] ; Schtrohhöt [ACPA]	N	canotier;chapeau de paille	Strohhut	bn:00011687n	1.00
Gàlla [ACPA] ; Gàll [ACPA]	N	bile;fiel	Galle	bn:00010373n	1.00
Saj [OLCA67;OLCA68] ; Sag [WKT] ; Säj [WKT] ; Saaga [ACPA]	N	scie	Sägen;Säge	bn:00063966n	0.87
Bier [OLCA67;OLCA68] ; Beer [ACPA;OLCA67] ; Biar [ACPA]	N	bière	Bier	bn:00009589n	1.00
Dezamber [ACPA;OLCA67;OLCA68;WKT] ; Dezember [OLCA67] ; Dezëmber [WKT]	N	décembre	Dezember	bn:00025645n	0.71
Kunda [ACPA] ; Knota [ACPA] ; Knote [OLCA68] ; Kund [ACPA]	N	client;clients;noeud;nœud	Kunden;Knoten;Kunde	bn:00019763n	0.76
Obstgàrta [OLCA68] ; Obschtgarte [OLCA67;OLCA68] ; Obstgàrte [OLCA67] ; Obschtgàrta [ACPA]	N	verger	Obstgärten;Obstgarten	bn:00041967n	0.87
laufe [WKT] ; loefe [WKT] ; loïfe [WKT] ; laafe [WKT]	V	courir	laufen	bn:00087905v	1.00
aifàch [ACPA] ; eifàch [ACPA]	A	facile;simple;élémentaire	einfach	bn:00101973a	0.89
Schlâba [WKT] ; Schlàppa [ACPA] ; Schlàppe [WKT]	N	pantoufle;pantoufles;babouche	Schlappen	bn:00016214n	0.82
dumm [ACPA]	A	stupide;bête;bébête;sot	dumm	bn:00111343a	0.65
Täller [ACPA] ; Dëller [WKT] ; Taller [ACPA] ; Daller [OLCA67;WKT]	N	assiette	Teller	bn:00062879n	1.00
Mittwuch [WKT] ; Mettwuch [ACPA;WKT] ; Mittwoch [OLCA67;OLCA68]	N	mercredi	Mittwoch	bn:00054897n	0.82
Reng [ACPA] ; Ring [ACPA;WKT]	N	bague;anneau	Ring	bn:02861427n	0.82
schwar [ACPA;OLCA68] ; schwer [OLCA67] ; schwër [WKT] ; schwär [WKT]	A	lourd	schwer;schweren	bn:00104050a	0.87
